id,description,price
1,Chevere Logs,9.95
2,Cabbage Roll,24.94
3,Brandy - Bar,6.34
4,French Pastry - Mini Chocolate,4.26
5,Lamb Shoulder Boneless Nz,2.15
6,Sprite - 355 Ml,20.57
7,"Beef - Ox Tongue",14.96
8,Muffin Mix - Morning Glory,18.92
9,Lidsoupcont Rp12dn,9.22
10,Anchovy Paste - 56 G Tube,24.33
11,Bread Crumbs - Panko,16.61
12,"Pasta - Spaghetti",4.78
13,Cake Sheet Combo Party Pack,16.15
14,Ecolab - Lime - A - Way 4/4 L,16.31
15,"Bread - Rolls",7.74
16,Truffle Cups - Brown,2.98
17,"Crab - Claws",24.7
18,"Rice Pilaf",11.23
19,"Squash - Pattypan",6.44
20,Garam Masala Powder,3.26
21,Veal - Ground,20.62
22,"Wine - Red",1.56
23,Spinach - Packaged,16.76
24,"Yogurt - Banana",15.6
25,Cake Sheet Combo Party Pack,9.77
26,"Sauce - Apple",23.21
27,Cheese - Victor Et Berthold,8.11
28,Wiberg Cure,18.53
29,Wine - Chateau Aqueria Tavel,23.52
30,"7up Diet",1.84
31,Foam Espresso Cup Plain White,20.24
32,Gherkin - Sour,17.11
33,Beer - Steamwhistle,13.06
34,"Beef - Ox Tail",18.01
35,Sugar - Fine,19.88
36,Beef - Salted,5.24
37,Squeeze Bottle,14.0
38,Crush - Cream Soda,22.5
39,Spic And Span All Purpose,14.43
40,Pear - Halves,17.64
41,Tobasco Sauce,16.41
42,Spice - Onion Powder Granulated,1.32
43,Oil - Grapeseed Oil,16.72
44,Wine - Black Tower Qr,8.68
45,Sponge Cake Mix - Vanilla,23.8
46,Bacardi Raspberry,6.08
47,Appetizer - Asian Shrimp Roll,23.02
48,Muffin Carrot - Individual,12.98
49,Grand Marnier,13.4
50,Passion Fruit,11.9
51,Potatoes - Peeled,21.67
52,Bar Nature Valley,2.15
53,"Wine - Magnotta",3.28
54,Appetizer - Smoked Salmon / Dill,18.33
55,Beans - Green,4.37
56,Apple - Fuji,18.77
57,Chip - Potato Dill Pickle,14.89
58,Puree - Blackcurrant,24.12
59,Sprouts - Alfalfa,1.12
60,Teriyaki Sauce,3.03
61,"Doilies - 5",9.02
62,Tequila - Sauza Silver,20.05
63,Latex Rubber Gloves Size 9,17.04
64,Beef - Striploin,21.71
65,Hand Towel,12.74
66,"Coffee - Beans",5.08
67,"Cheese - Mozzarella",14.79
68,Pastry - Apple Large,21.6
69,Macaroons - Two Bite Choc,23.95
70,Oil - Olive,17.17
71,Lid - 16 Oz And 32 Oz,16.41
72,Pea - Snow,11.17
73,Food Colouring - Blue,20.97
74,"Croissant",19.39
75,Wine - Sogrape Mateus Rose,20.99
76,Rum - Mount Gay Eclipes,15.12
77,Pop - Club Soda Can,12.75
78,Daikon Radish,6.18
79,Rice - Long Grain,23.32
80,Pepper - Roasted Red,2.91
81,Carbonated Water - Orange,20.43
82,Coriander - Ground,16.07
83,Oven Mitts 17 Inch,18.93
84,Sausage - Andouille,20.36
85,"Beef - Rouladin",1.95
86,"Veal - Brisket",18.17
87,"Marsala - Sperone",9.15
88,"Juice - Tomato",2.77
89,Squid Ink,13.62
90,Snapple Lemon Tea,4.45
91,"Beans - Black Bean",15.27
92,Cheese - Montery Jack,19.54
93,Apples - Sliced / Wedge,23.01
94,Cheese - Feta,12.93
95,Wine - Muscadet Sur Lie,3.05
96,White Baguette,6.8
97,Bread Fig And Almond,19.21
98,Veal - Liver,19.26
99,Petit Baguette,16.27
100,Mace,13.99
